Year,Units,Value
1990,1990 = 100,100.0
1991,1990 = 100,96.311
1992,1990 = 100,92.36
1993,1990 = 100,91.615
1994,1990 = 100,90.135
1995,1990 = 100,89.565
1996,1990 = 100,90.94
1997,1990 = 100,88.089
1998,1990 = 100,86.124
1999,1990 = 100,83.373
2000,1990 = 100,83.134
2001,1990 = 100,84.307
2002,1990 = 100,82.562
2003,1990 = 100,82.271
2004,1990 = 100,80.744
2005,1990 = 100,78.722
2006,1990 = 100,79.274
2007,1990 = 100,77.114
2008,1990 = 100,77.122
2009,1990 = 100,71.797
2010,1990 = 100,74.517
2011,1990 = 100,72.529
2012,1990 = 100,72.996
2013,1990 = 100,74.607
2014,1990 = 100,71.402
2015,1990 = 100,71.662
2016,1990 = 100,71.814
2017,1990 = 100,70.458
2018,1990 = 100,67.627
2019,1990 = 100,63.508
2020,1990 = 100,58.417
2021,1990 = 100,60.769
2022,1990 = 100,59.591
2030,1990 = 100,
2040,1990 = 100,
2045,1990 = 100,
